Time,Year_Q,visitor
1,2005 Q1,42.20566386
2,2005 Q2,24.64917133
3,2005 Q3,32.66733514
4,2005 Q4,37.25735401
5,2006 Q1,45.24246027
6,2006 Q2,29.35048127
7,2006 Q3,36.34420728
8,2006 Q4,41.78208136
9,2007 Q1,49.27659843
10,2007 Q2,31.27540139
11,2007 Q3,37.85062549
12,2007 Q4,38.83704413
13,2008 Q1,51.23690034
14,2008 Q2,31.83855162
15,2008 Q3,41.32342126
16,2008 Q4,42.79900337
17,2009 Q1,55.70835836
18,2009 Q2,33.40714492
19,2009 Q3,42.31663797
20,2009 Q4,45.15712257
21,2010 Q1,59.57607996
22,2010 Q2,34.83733016
23,2010 Q3,44.84168072
24,2010 Q4,46.9712496
25,2011 Q1,60.01903094
26,2011 Q2,38.37117851
27,2011 Q3,46.97586413
28,2011 Q4,50.73379646
29,2012 Q1,61.64687319
30,2012 Q2,39.29956937
31,2012 Q3,52.67120908
32,2012 Q4,54.33231689
33,2013 Q1,66.83435838
34,2013 Q2,40.87118847
35,2013 Q3,51.82853579
36,2013 Q4,57.49190993
37,2014 Q1,65.25146985
38,2014 Q2,43.06120822
39,2014 Q3,54.76075713
40,2014 Q4,59.83447494
41,2015 Q1,73.25702747
42,2015 Q2,47.69662373
43,2015 Q3,61.09776802
44,2015 Q4,66.05576122
,,47.01915515
