Time,Year,Production
1,1965,111.0091346
2,1966,130.8284341
3,1967,141.2870879
4,1968,154.2277747
5,1969,162.7408654
6,1970,192.1664835
7,1971,240.7997253
8,1972,304.2173901
9,1973,384.0045673
10,1974,429.6621566
11,1975,359.3169299
12,1976,437.2518544
13,1977,468.4007898
14,1978,424.4353365
15,1979,487.9794299
16,1980,509.8284478
17,1981,506.3472527
18,1982,340.1842374
19,1983,240.258921
20,1984,219.0327876
21,1985,172.0746632
22,1986,252.5900922
23,1987,221.0710774
24,1988,276.5187735
25,1989,271.1479517
26,1990,342.6186005
27,1991,428.3558357
28,1992,442.3945533
29,1993,432.7851482
30,1994,437.2497186
31,1995,438.4428287
32,1996,446.6565229
33,1997,454.4733065
34,1998,455.662974
35,1999,423.6322388
36,2000,456.2713279
37,2001,440.5880501
38,2002,425.3325201
39,2003,485.1494479
40,2004,506.0481621
41,2005,526.7919833
42,2006,514.268889
43,2007,494.2110193
44,2008,515.3052417
45,2009,464.7204667
46,2010,467.7723636
